"medcodeid"	"snomedctconceptid"	"term"	"diagnosis"	"test"	"care"	"symptom"
"104872017"	"63088003"	"extrinsic asthma without status asthmaticus"	"1"	""	""	""
"1118291000000110"	"443117005"	"asthma control test"	""	"1"	""	""
"1139131000000117"	"698509001"	"under care of asthma specialist nurse"	""	""	"1"	""
"1176461000000114"	"527171000000103"	"patient has a written asthma personal action plan"	""	""	"1"	""
"1208954011"	"370202007"	"asthma causes daytime symptoms 1 to 2 times per month"	""	""	""	"1"
"1208955012"	"370203002"	"asthma causes daytime symptoms 1 to 2 times per week"	""	""	""	"1"
"1208956013"	"370204008"	"asthma causes daytime symptoms most days"	""	""	""	"1"
"1208957016"	"370205009"	"asthma causes night symptoms 1 to 2 times per month"	""	""	""	"1"
"1208958014"	"370206005"	"asthma limits walking on the flat"	""	""	""	"1"
"1208959018"	"370207001"	"asthma limits walking up hills or stairs"	""	""	""	"1"
"1208960011"	"370208006"	"asthma never causes daytime symptoms"	""	""	""	"1"
"1208962015"	"366874008"	"number of asthma exacerbations in past year"	""	""	""	"1"
"1208969012"	"370218001"	"mild asthma"	"1"	""	""	""
"1208970013"	"370219009"	"moderate asthma"	"1"	""	""	""
"1208971012"	"370220003"	"occasional asthma"	"1"	""	""	""
"1208972017"	"370221004"	"severe asthma"	"1"	""	""	""
"1208976019"	"370225008"	"asthma treatment compliance unsatisfactory"	""	""	"1"	""
"1208977011"	"370226009"	"asthma treatment compliance satisfactory"	""	""	"1"	""
"1212342016"	"373899003"	"asthma daytime symptoms"	""	""	""	"1"
"145961000006117"	"708090002"	"severe asthma attack"	""	""	""	"1"
"1483199016"	"389145006"	"allergic asthma"	"1"	""	""	""
"1484905010"	"390872009"	"change in asthma management plan"	""	""	"1"	""
"1484910014"	"390877003"	"step up change in asthma management plan"	""	""	"1"	""
"1484911013"	"390878008"	"step down change in asthma management plan"	""	""	"1"	""
"1488421017"	"394700004"	"asthma annual review"	""	""	"1"	""
"1488422012"	"394701000"	"asthma follow-up"	""	""	"1"	""
"1488436019"	"394720003"	"asthma medication review"	""	""	"1"	""
"1488722011"	"395022009"	"asthma night-time symptoms"	""	""	""	"1"
"149741000006116"	"23315001"	"sequoiosis (red-cedar asthma)"	"1"	""	""	""
"151338014"	"1086701000000102"	"extrinsic asthma with status asthmaticus"	"1"	""	""	""
"1722421000000110"	"771901000000100"	"asthma causes night time symptoms 1 to 2 times per week"	""	""	""	"1"
"1722501000000119"	"771941000000102"	"asthma causes symptoms most nights"	""	""	""	"1"
"1722581000000112"	"771981000000105"	"asthma limits activities 1 to 2 times per month"	""	""	""	"1"
"1722651000000119"	"772011000000107"	"asthma limits activities 1 to 2 times per week"	""	""	""	"1"
"1722731000000116"	"772051000000106"	"asthma limits activities most days"	""	""	""	"1"
"1739131000000111"	"340891000000106"	"asthma trigger - airborne dust"	""	""	""	"1"
"1739141000000119"	"340901000000107"	"asthma trigger - exercise"	""	""	""	"1"
"1739151000000116"	"340911000000109"	"asthma trigger - pollen"	""	""	""	"1"
"1739161000000118"	"340921000000103"	"asthma trigger - tobacco smoke"	""	""	""	"1"
"1739171000000113"	"340931000000101"	"asthma trigger - warm air"	""	""	""	"1"
"1753401000006117"	"754061000000100"	"asthma review using royal college of physicians three questions"	""	""	"1"	""
"1766051000006114"	"448003001"	"royal college physician asthma assessment 3 question score"	""	"1"	""	""
"1768981000000110"	"473391009"	"asthma never causes night symptoms"	""	""	""	"1"
"1780388018"	"401193004"	"asthma confirmed"	"1"	""	""	""
"1807891000006111"	"1807891000006107"	"asthma causes daytime asthma symptoms less than weekly"	""	""	""	"1"
"1807901000006110"	"1807901000006106"	"asthma causes daytime symptoms more than weekly, less than daily"	""	""	""	"1"
"1807911000006113"	"1807911000006109"	"asthma causes daytime asthma symptoms daily"	""	""	""	"1"
"1807921000006117"	"1807921000006101"	"asthma causes night time symptoms less than 2 times per month"	""	""	""	"1"
"1807931000006119"	"1807931000006103"	"asthma causes night time symp more than 2 times a month,not wkly"	""	""	""	"1"
